Address	Zip	Lat.	Long.
0	central pknear 5 ave, Manhattan, NY	None	40.7747314	-73.9653734
1	central pknear 5 ave, Manhattan, NY	10018	40.753821	-73.981963
2	central pknear 5 ave, Manhattan, NY	10022	40.764811	-73.973347
3	central pknear 5 ave, Manhattan, NY	10128	40.787639	-73.95615
4	central pknear 5 ave, Manhattan, NY	None	40.7631283	-73.9803015
5	central pknear 5 ave, Manhattan, NY	10025	40.7949782	-73.9641958
6	central pknear 5 ave, Manhattan, NY	10026	40.797165	-73.949142
7	central pknear 5 ave, Manhattan, NY	10029	40.796597	-73.949577
8	central pknear 5 ave, Manhattan, NY	10028	40.78078	-73.961086
9	central pknear 5 ave, Manhattan, NY	10010	40.741303	-73.989344
10	central pknear 5 ave, Manhattan, NY	10022	40.760167	-73.975224
11	central pknear 5 ave, Manhattan, NY	10035	40.790186	-73.9199142
12	central pknear 5 ave, Manhattan, NY	07047	40.8093172	-74.0059189
13	central pknear 5 ave, Manhattan, NY	10128	40.78656	-73.956863
14	central pknear 5 ave, Manhattan, NY	10019	40.767365	-73.970863
15	central pknear 5 ave, Manhattan, NY	10128	40.785461	-73.957657
16	central pknear 5 ave, Manhattan, NY	10029	40.788216	-73.955635
17	central pknear 5 ave, Manhattan, NY	10029	40.793072	-73.952095
18	central pknear 5 ave, Manhattan, NY	10065	40.772446	-73.967247
19	central pknear 5 ave, Manhattan, NY	10065	40.77026	-73.968742
20	central pknear 5 ave, Manhattan, NY	10029	40.791569	-73.953178
21	central pknear 5 ave, Manhattan, NY	10021	40.774357	-73.965775
22	central pknear 5 ave, Manhattan, NY	10029	40.794178	-73.951286
23	central pknear 5 ave, Manhattan, NY	10029	40.789192	-73.954872
24	central pknear 5 ave, Manhattan, NY	10001	40.748726	-73.984482
25	central pknear 5 ave, Manhattan, NY	10128	40.782188	-73.960052
26	central pknear 5 ave, Manhattan, NY	10021	40.775612	-73.964836
27	central pknear 5 ave, Manhattan, NY	10029	40.795513	-73.950317
28	central pknear 5 ave, Manhattan, NY	10028	40.777313	-73.963593
29	central pknear 5 ave, Manhattan, NY	10021	40.776253	-73.964386
--	central pknear cpn, Manhattan, NY	10016	40.747222	-73.970278
0	central pknear cpw, Manhattan, NY	10023	40.7772652	-73.9753451
1	central pknear cpw, Manhattan, NY	None	40.7849665	-73.9695961
2	central pknear cpw, Manhattan, NY	10023	40.7697385	-73.9810969
3	central pknear cpw, Manhattan, NY	10025	40.791264	-73.965325
