,Unnamed: 0,boro,stname,numeric_ind,GFT,len_full_name,num_of_progens,progen_word_1,progen_gft_1,progen_b10sc_1,progen_word_2,progen_gft_2,progen_b10sc_2,clean_name
968,968,2, 224 STREET                     ,N,S,16,1,E, ,22835001010, , ,           ,224 st
969,969,2, 225 ST BRIDGE                  ,N,S,19,1,W,B,27489101030, , ,           ,225 st bridge
970,970,2, 225 STREET                     ,N,S,16,2,E, ,22838001010,W, ,27489001010,225 st
971,971,2, 225 STREET BRIDGE              ,N,S,23,1,W,B,27489101010, , ,           ,225 street bridge
972,972,2, 226 STREET                     ,N,S,16,1,E, ,22841001010, , ,           ,226 st
973,973,2, 227 STREET                     ,N,S,16,2,E, ,22844001010,W, ,27490001010,227 st
974,974,2, 228 STREET                     ,N,S,16,2,E, ,22847001010,W, ,27491001010,228 st
975,975,2, 229 ST EXTENSION               ,N,S,22,1,W, ,27492501020, , ,           ,229 st extension
976,976,2, 229 STREET                     ,N,S,16,2,E, ,22850001010,W, ,27492001010,229 st
977,977,2, 229 STREET EXTENSION           ,N,S,26,1,W, ,27492501090, , ,           ,229 street extension
978,978,2, 230 ST I   87 NB EN            ,N,S,25,1,W,Z,21150501260, , ,           ,230 st i 87 nb en
979,979,2, 230 ST I   87 SB EN            ,N,S,25,1,W,Z,21143501250, , ,           ,230 st i 87 sb en
980,980,2, 230 ST I-87 NORTHBOUND EN      ,N,S,31,1,W,Z,21150501300, , ,           ,230 st i87 northbound en
981,981,2, 230 ST I-87 SOUTHBOUND EN      ,N,S,31,1,W,Z,21143501290, , ,           ,230 st i87 southbound en
982,982,2, 230 ST IN   87 NB EN           ,N,S,26,1,W,Z,21150501340, , ,           ,230 st in 87 nb en
983,983,2, 230 ST IN   87 SB EN           ,N,S,26,1,W,Z,21143501330, , ,           ,230 st in 87 sb en
984,984,2, 230 ST MDE NORTHBOUND EN       ,N,S,30,1,W,Z,21150501180, , ,           ,230 st mde northbound en
985,985,2, 230 ST MDE SOUTHBOUND EN       ,N,S,30,1,W,Z,21143501180, , ,           ,230 st mde southbound en
